ITEM,TECH NUMBER,ACTIVITY CSG NUMBER,ACTIVITY CLOSED DATE,LINE AMOUNT
MULTI-SWITCH KA 6X8,MASC995064,1-1M2ISS0S,4/23/2014,0
MULTI-SWITCH KA 6X8,MASC995064,1-1M2ISS0S,4/23/2014,0
"""ODU - 18""""""",MASC999035,1-1LYEGZY8,4/23/2014,0
MULTI-SWITCH 2X4,MASC999035,1-1LYEGZY8,4/23/2014,0
IRD - STANDARD,MASC999035,1-1LYEGZY8,4/23/2014,19
IRD - STANDARD,MASC999035,1-1LYEGZY8,4/23/2014,19
MULTI-SWITCH KA 6X8,MASC995064,1-1M27JYDS,4/23/2014,0
MULTI-SWITCH KA 6X8,MASC995064,1-1M27JYDS,4/23/2014,0
ODU RELOCATE,MASC995064,1-1M27JYDS,4/23/2014,18
IRD - KA/KU,MASC995064,1-1LZGPW33,4/23/2014,19
IRD - KA/KU,MASC995064,1-1LZGPW33,4/23/2014,19
KA/KU LNB SWM 3,MASC995064,1-1LZGPW33,4/23/2014,0
SWM ODU HARDWARE,MASC995064,1-1LZGPW33,4/23/2014,0
SWM ODU HARDWARE,MASC995440,1-1LZ84USA,4/23/2014,0
