ITEM,TECH NUMBER,ACTIVITY CSG NUMBER,ACTIVITY CLOSED DATE,LINE AMOUNT
"""ODU - 18""""""",MASC998397,1-1M1C76IX,4/22/2014,0
RECEIVER DECA,MASC906491,1-1M1PGA8L,4/22/2014,0
MRV ENABLED,MASC906491,1-1M1PGA8L,4/22/2014,0
NON DIRECTV EQUIPMENT,MASC995196,1-1M1LNQ5C,4/22/2014,22
KA/KU LNB SWM 3,MASC995214,1-1M1FZITE,4/22/2014,0
MRV ENABLED,MASC995214,1-1M1FZITE,4/22/2014,0
IRD - STANDARD,MASC998397,1-1M1C76IX,4/22/2014,19
MULTI-SWITCH 2X4,MASC998397,1-1M1C76IX,4/22/2014,0
IRD - STANDARD,MASC907665,1-1M1ULPKW,4/22/2014,19
ODU UPGRADE,MASC907665,1-1M1ULPKW,4/22/2014,22
"""ODU - 18""""""",MASC907665,1-1M1ULPKW,4/22/2014,0
MULTI-SWITCH SWM 8,MASC998397,1-1M1VRBYP,4/22/2014,0
IRD - KA/KU,MASC998397,1-1M1VRBYP,4/22/2014,19
ODU UPGRADE,MASC998397,1-1M1VRBYP,4/22/2014,22
New Install,MASC998231,1-1LZSIOX7,4/21/2014,60
SUBSIDY,MASC998231,1-1LZSIOX7,4/21/2014,0
Service,MASC906491,1-1LZFOH3A,4/21/2014,37
SUBSIDY,MASC906491,1-1LZFOH3A,4/21/2014,0
Upgrade,MASC995214,1-1LZSJAW8,4/21/2014,25
SUBSIDY,MASC995214,1-1LZSJAW8,4/21/2014,0
Upgrade,MASC995064,1-1M013X2S,4/21/2014,25
SUBSIDY,MASC995064,1-1M013X2S,4/21/2014,0
Service,MASC995144,1-1M0J1VSF,4/21/2014,37
SUBSIDY,MASC995144,1-1M0J1VSF,4/21/2014,0
Service,MASC997565,1-1LSME2DK,4/21/2014,-37
Former Install,MASC995214,1-1LXDQ1ZX,4/21/2014,60
SUBSIDY,MASC995214,1-1LXDQ1ZX,4/21/2014,0
Upgrade,MASC995440,1-1LZ6KVXE,4/21/2014,25
SUBSIDY,MASC995440,1-1LZ6KVXE,4/21/2014,0
Upgrade,MASC998231,1-1LZ6O2YQ,4/21/2014,25
SUBSIDY,MASC998231,1-1LZ6O2YQ,4/21/2014,0
Upgrade,MASC995144,1-1M08EXLQ,4/21/2014,25
SUBSIDY,MASC995144,1-1M08EXLQ,4/21/2014,0
Former Install,MASC995440,1-1M0ZIHCB,4/21/2014,60
SUBSIDY,MASC995440,1-1M0ZIHCB,4/21/2014,0
New Install,MASC997093,1-1LW54T3O,4/21/2014,60
SUBSIDY,MASC997093,1-1LW54T3O,4/21/2014,0
Service,MASC995166,1-1KJHYGBT,4/21/2014,-37
SUBSIDY,MASC907665,1-1M0T7L5Z,4/21/2014,0
Service,MASC907665,1-1M0T7L5Z,4/21/2014,37
Service,MASC998231,1-1M0AHBFH,4/21/2014,37
SUBSIDY,MASC998231,1-1M0AHBFH,4/21/2014,0
Upgrade,MASC998397,1-1M0CLFDJ,4/21/2014,25
